Year to,Nominal terms,Real terms
30-Sep-19,77.5,82.6
30-Sep-20,65.9,66.5
30-Sep-98,30.1,48.8
31-Mar-16,43.0,48.9
31-Mar-14,39.6,46.0
31-Mar-97,45.6,74.4
30-Sep-17,52.9,58.5
30-Sep-04,17.0,24.5
30-Sep-21,100.0,100.0
30-Sep-14,46.1,53.2
31-Mar-01,22.6,35.3
30-Sep-95,53.3,92.2
31-Mar-99,24.0,38.5
31-Mar-07,21.5,28.8
31-Mar-20,70.2,73.8
30-Sep-18,77.4,84.2
30-Sep-13,36.0,42.1
31-Mar-21,75.8,74.8
30-Sep-88,48.6,119.6
31-Mar-95,51.9,91.3
30-Sep-91,35.7,69.6
31-Mar-17,48.0,53.5
30-Sep-05,17.7,24.7
31-Mar-06,19.4,26.7
31-Mar-90,46.3,101.2
30-Sep-06,19.4,26.3
31-Mar-19,80.9,87.2
30-Sep-16,43.6,49.2
30-Sep-02,17.7,26.8
30-Sep-92,37.7,70.3
30-Sep-01,23.3,36.0
30-Sep-15,47.2,54.0
31-Mar-15,47.5,54.4
31-Mar-98,38.6,62.9
31-Mar-05,16.8,23.9
31-Mar-13,34.3,40.6
31-Mar-11,35.1,43.1
30-Sep-11,37.5,45.6
30-Sep-03,14.2,20.9
30-Sep-93,39.6,71.7
30-Sep-99,21.6,34.3
31-Mar-94,42.8,76.6
30-Sep-10,31.6,39.1
31-Mar-09,24.0,30.4
30-Sep-87,46.8,122.0
30-Sep-22,96.5,93.8
30-Sep-97,44.4,72.3
31-Mar-10,25.3,31.6
31-Mar-92,36.1,68.4
31-Mar-96,49.5,84.1
31-Mar-00,23.5,37.3
30-Sep-07,29.1,38.5
30-Sep-09,21.2,26.5
31-Mar-12,36.6,44.1
31-Mar-89,50.9,120.3
30-Sep-08,28.7,37.0
31-Mar-18,62.6,68.6
31-Mar-08,33.6,44.0
30-Sep-12,36.8,44.0
30-Sep-96,47.2,78.1
30-Sep-00,23.0,36.2
31-Mar-91,41.1,82.7
31-Mar-02,20.4,31.2
31-Mar-04,15.4,22.5
31-Mar-22,105.1,104.3
31-Mar-93,38.4,70.6
30-Sep-89,49.0,111.5
31-Mar-88,48.0,121.8
30-Sep-86,38.5,105.7
31-Mar-87,40.8,109.5
30-Sep-94,45.9,81.4
31-Mar-03,15.9,23.7
30-Sep-90,45.6,95.5